hand_value,action
0.5544522320588019,Check
0.5098873699262618,Check
0.18407924067453132,Call
0.8376117750032885,Call
0.4610435392692064,Check
0.008862787373796798,Call
0.4511831721171413,Check
0.22135011733251736,Check
0.6263780230074174,Fold
0.3868077595708362,Check
0.2801950815060297,Raise
0.917859511112152,Check
0.3126932405656787,Check
0.6264721480903456,Check
0.7999781551510594,Call
0.48997722729991966,Check
0.18039858794571867,Check
0.6736364923678457,Call
0.9383684232345556,Call
0.9638416186914047,Call
0.8492665428249282,Call
0.4135407300993713,Check
0.5928909943933746,Fold
0.7389639051608468,Check
0.6705126498150085,Call
0.5203367931705735,Fold
0.3491567578080842,Fold
0.9628827031448284,Raise
0.01743311324500757,Call
0.5858246189863429,Check
0.12995275001259313,Check
0.7125147070814652,Fold
0.35717370659680325,Check
0.6928087315265719,Check
0.7426382258631785,Check
0.6720235490354017,Check
0.3680800569864777,Fold
0.6337988539360858,Call
0.8498895748604325,Call
0.9559530380090238,Raise
0.8006429103423287,Call
0.29322394420941994,Fold
0.9863586524639534,Raise
0.6541135245308211,Call
0.8518012956258723,Call
0.6653856646068513,Call
0.9195537844222461,Call
0.857572142103448,Call
0.1340325672430406,Check
0.07109388784829027,Fold
0.7764802580033727,Check
0.08387027392877691,Check
0.7752075121955027,Raise
0.8862545581836517,Call
0.9398926610073333,Raise
0.7305054038205393,Raise
0.910916768762338,Call
0.5111891250288529,Check
0.6016712652693098,Check
0.6957049261268806,Check
0.09182286087290471,Raise
0.8356023146899341,Call
0.4608613961851252,Check
0.030020849913525383,Call
0.5515724888206672,Check
0.2177595805704882,Fold
0.6632616763291994,Raise
0.8703150498916853,Call
0.6411546971202517,Fold
0.3516814561098365,Check
0.41701179795214094,Call
0.1927286571959505,Fold
0.7673609726752508,Call
0.5494063068628905,Fold
0.24159612745433884,Fold
0.019047750474262513,Check
0.35953485882404784,Fold
0.6792693269930934,Fold
0.781505750256535,Raise
0.10328921447175377,Fold
0.8877322526799962,Call
0.1157897009655911,Fold
0.357017663341979,Raise
0.9906034844104732,Call
0.30565896090368555,Fold
0.0783814241163094,Check
0.5014346781871933,Check
0.9585507066608723,Call
0.998384379256147,Raise
0.7591023739053895,Fold
0.20129434212577055,Check
0.8583400547313877,Raise
0.32418311559122415,Check
0.134312482063897,Fold
0.7725123770756409,Call
0.8103795360791188,Raise
0.8970994763425579,Call
0.5069887419691063,Fold
0.7487811625422709,Fold
0.7408497685865083,Raise
0.4529807253935196,Fold
0.2903404229461768,Fold
0.9676077489263855,Call
0.12087121177414423,Check
0.620548486243876,Call
0.7215463905444228,Fold
0.5397585509539822,Check
0.13259001427950137,Check
0.2143833893179745,Check
0.005446455242938053,Fold
0.6992259687871829,Call
0.9933263651738758,Raise
0.4606510233449187,Check
0.9243757823340494,Call
0.475770715235617,Check
0.6094077648978163,Call
0.8504326491279853,Call
0.8595902003732255,Raise
0.9590971720551991,Call
0.9740220171743085,Raise
0.36456109365141026,Call
0.4173068027347001,Raise
0.10347851396772959,Fold
0.48542087193839456,Raise
0.13574578400980306,Fold
0.21852047140765196,Call
0.2039023641008959,Call
0.6831741205259593,Call
0.12135131532984672,Check
0.2264213783968272,Check
0.43890944190372405,Raise
0.274596056614719,Fold
0.5835912338425127,Check
0.31005565347633646,Fold
0.09395915004107376,Check
0.7060874190507419,Call
0.25388191405382615,Fold
0.4500623453848334,Check
0.2164685614870784,Call
0.3399273540293711,Check
0.39212205031069963,Check
0.8395679072715836,Call
0.0793002930321612,Fold
0.039769123835358675,Fold
0.2992669577264069,Fold
0.7871847088485522,Call
0.6838472139999963,Raise
0.028632359850695163,Fold
0.8688718905350042,Fold
0.951193876630547,Call
0.8456485850998957,Call
0.7818163952894399,Call
0.6985453000392425,Raise
0.4727721830114826,Fold
0.0970102846342595,Fold
0.3079604885160229,Check
0.8190503856115733,Call
0.7746118277283212,Check
0.7496636455545828,Call
0.9148413800861014,Call
0.2594246676953855,Fold
0.9910502782483388,Call
0.9655595327127072,Raise
0.18648305730572642,Call
0.08746314390007014,Check
0.39946392133146436,Check
0.7290916066086802,Fold
0.3476503488014166,Check
0.936781795106272,Call
0.060518672622223234,Check
0.561970762006933,Check
0.1023219414111466,Fold
0.8734161170050281,Call
0.5248143369576136,Fold
0.8599518958515009,Call
0.23964935567881723,Check
0.1759519770765727,Check
0.8048854384942339,Raise
0.7400527326098058,Call
0.6211687823750043,Check
0.3941235150219834,Fold
0.3077169899734715,Fold
0.7988304909405679,Check
0.010875693847336254,Check
0.16685400567766717,Fold
0.6563349133388419,Fold
0.8820920596931329,Call
0.0445195813191127,Fold
0.6686970586830684,Fold
0.5727862221846101,Check
0.8067853568511982,Raise
0.018063900526744735,Fold
0.24932208818769178,Check
0.6036505316114122,Fold
0.8349233123016245,Raise
0.3895980465187765,Check
0.9210637665058813,Call
0.7202321155853688,Call
0.6129165285795853,Call
0.9737647088377362,Raise
0.13116108909329674,Call
0.5799557785574794,Fold
0.28394228107969255,Call
0.6105977405672021,Check
0.6886140291633751,Check
0.3508295702043023,Fold
0.9122484349341472,Call
0.9515549550163582,Raise
0.8149624086029177,Call
0.39735963974119526,Check
0.6642718958986296,Call
0.4926361406769352,Check
0.6158743666953538,Call
0.09218621766059669,Check
0.8973706832492415,Raise
0.6047768409279778,Call
0.7265700807591253,Raise
0.06403238300100819,Check
0.5308870846421224,Check
0.428663595426963,Fold
0.4826884963924275,Call
0.6732669426486864,Call
0.904269059983619,Raise
0.897052884337045,Call
0.8248875701318206,Call
0.90154835029427,Call
0.7452739710320562,Call
0.07092753584423324,Check
0.012178540175469165,Fold
0.19765238137002547,Fold
0.7552915657936368,Call
0.17829712046215102,Check
0.8578447174559032,Call
0.8848989421806733,Raise
0.6545098253211389,Fold
0.9560255954498051,Call
0.8294245242906174,Call
0.7619516248415663,Check
0.800662727002233,Call
0.7951684091558602,Fold
0.7198358518002104,Call
0.859420083763509,Call
0.07451363998290794,Check
0.7443944920661953,Raise
0.27277656790672883,Fold
0.8054422883714948,Check
0.38215343785394107,Fold
0.7735639132740496,Fold
0.620939040572934,Call
0.7823563183743636,Raise
0.3211731734196549,Check
0.04493096657826651,Check
0.5945776532746885,Check
0.41944865591191643,Raise
0.46488124724593294,Check
0.925702943638361,Raise
0.32862248916361175,Check
0.2575771487294859,Fold
0.5281629288194112,Fold
0.05489500800138287,Check
0.06933030013156768,Check
0.10583732586872455,Fold
0.5704829694732112,Fold
0.026395452425936706,Fold
0.07195169019126992,Check
0.5435777839868641,Fold
0.7332797057925342,Check
0.6486766530640209,Call
0.9169528312452684,Call
0.5367620519236613,Check
0.4792279564128389,Check
0.9207176308893633,Call
0.24486999967291673,Check
0.12572461757121414,Call
0.4029600640184444,Check
0.6877910937815794,Call
0.7591477909176231,Call
0.13257520500153744,Call
0.05301529377774049,Check
0.051915095888358166,Check
0.8402568081560864,Call
0.09654982306309916,Call
0.0118645894075736,Fold
0.7321186308535869,Check
0.7388927315549796,Call
0.8562925683439684,Call
0.8934241894331919,Raise
0.5638578166333947,Check
0.7063205170930275,Raise
0.1730065355273311,Check
0.6738199969540565,Raise
0.9755460184601097,Call
0.9716039035636126,Call
0.9196486574799876,Call
0.6068291143273609,Call
0.7417197791358223,Call
0.7857300972597583,Fold
0.2659402115649671,Check
0.6213951917486049,Raise
0.15452339380672112,Fold
0.9474052586872947,Call
0.7336717324606488,Call
0.13088452104595277,Raise
0.9405715397216925,Call
0.8290730388996351,Call
0.6415971091669863,Call
0.9557646019959596,Raise
0.2528056090392062,Fold
0.7254777625196278,Fold
0.8031688268607275,Call
0.48804666993791423,Fold
0.966676557774208,Raise
0.656353676491198,Check
0.5949743276155046,Check
0.5000207197304455,Fold
0.7198788940618177,Check
